Task ID,Task,Occupation,AI_Capability,Automation_Desire,Category
15458,"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",Biofuels Production Managers,2.5,4.0,Management
15461,"Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.",Biofuels Production Managers,4.5,3.6666666666666665,Management
15460,"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",Biofuels Production Managers,4.0,4.0,Management
15457,Prepare and manage biofuels plant or unit budgets.,Biofuels Production Managers,3.6666666666666665,3.75,Management
15459,"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",Biofuels Production Managers,4.0,3.6666666666666665,Management
1021,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Purchasing Managers,2.6666666666666665,2.0,Management
1033,Prepare bid awards requiring board approval.,Purchasing Managers,4.0,3.2857142857142856,Management
1025,Review purchase order claims and contracts for conformance to company policy.,Purchasing Managers,4.333333333333333,3.7,Management
1031,"Review, evaluate, and approve specifications for issuing and awarding bids.",Purchasing Managers,4.0,3.6,Management
1035,Administer online purchasing systems.,Purchasing Managers,5.0,2.5,Management
1022,Prepare and process requisitions and purchase orders for supplies and equipment.,Purchasing Managers,2.6666666666666665,2.3,Management
1026,Analyze market and delivery systems to assess present and future material availability.,Purchasing Managers,4.0,2.9,Management
1020,Maintain records of goods ordered and received.,Purchasing Managers,4.5,2.8,Management
20942,"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",Supply Chain Managers,3.0,3.6666666666666665,Management
20943,"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",Supply Chain Managers,3.6666666666666665,3.1666666666666665,Management
15680,Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.,Supply Chain Managers,4.333333333333333,4.0,Management
15700,"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.",Supply Chain Managers,3.0,2.333333333333333,Management
15696,"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",Supply Chain Managers,4.0,3.8333333333333335,Management
15697,Analyze information about supplier performance or procurement program success.,Supply Chain Managers,4.0,2.75,Management
20945,Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.,Supply Chain Managers,4.0,2.6666666666666665,Management
20946,Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.,Supply Chain Managers,3.5,3.8,Management
15691,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",Supply Chain Managers,4.0,3.5,Management
985,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",Human Resources Managers,5.0,3.1,Management
982,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",Human Resources Managers,2.5,4.0,Management
994,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,Human Resources Managers,2.6666666666666665,2.4,Management
993,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",Human Resources Managers,5.0,3.1,Management
1002,"Develop, administer, and evaluate applicant tests.",Human Resources Managers,3.5,3.1,Management
49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Medical and Health Services Managers,5.0,3.4,Management
51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Medical and Health Services Managers,3.6666666666666665,3.3,Management
55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Medical and Health Services Managers,4.0,2.3,Management
52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Medical and Health Services Managers,3.5,3.6,Management
61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Medical and Health Services Managers,2.333333333333333,2.9,Management
57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Medical and Health Services Managers,3.0,2.8,Management
15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Clinical Research Coordinators,1.5,3.1,Management
15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Clinical Research Coordinators,3.0,2.7,Management
15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Clinical Research Coordinators,2.6666666666666665,2.4,Management
15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Clinical Research Coordinators,4.5,3.3,Management
15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Clinical Research Coordinators,2.333333333333333,2.4,Management
15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Clinical Research Coordinators,3.5,2.8,Management
15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Clinical Research Coordinators,3.0,2.9,Management
15609,"Code, evaluate, or interpret collected study data.",Clinical Research Coordinators,4.0,2.8,Management
15600,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,Clinical Research Coordinators,3.0,2.9,Management
15598,Order drugs or devices necessary for study completion.,Clinical Research Coordinators,4.5,3.3,Management
15607,Communicate with laboratories or investigators regarding laboratory findings.,Clinical Research Coordinators,2.0,3.4,Management
15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Clinical Research Coordinators,2.25,2.1,Management
15590,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,Clinical Research Coordinators,2.333333333333333,3.2222222222222223,Management
15584,Register protocol patients with appropriate statistical centers as required.,Clinical Research Coordinators,4.0,4.0,Management
18037,"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",Regulatory Affairs Managers,2.6666666666666665,3.142857142857143,Management
18022,"Direct the preparation and submission of regulatory agency applications, reports, or correspondence.",Regulatory Affairs Managers,2.6666666666666665,3.0,Management
18030,"Maintain current knowledge of relevant regulations, including proposed and final rules.",Regulatory Affairs Managers,1.5,3.7142857142857135,Management
18038,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,Regulatory Affairs Managers,3.333333333333333,3.333333333333333,Management
18032,Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,Regulatory Affairs Managers,2.6666666666666665,4.0,Management
1146,Monitor and follow applicable laws and regulations.,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.6666666666666665,2.6666666666666665,Business and Financial Operations
1143,"Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.0,3.0,Business and Financial Operations
1145,"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.0,3.125,Business and Financial Operations
1151,"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.25,2.8,Business and Financial Operations
1144,"Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.6666666666666665,2.571428571428572,Business and Financial Operations
1148,"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.0,2.7,Business and Financial Operations
1153,Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.0,3.0,Business and Financial Operations
1157,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.6666666666666665,2.7142857142857144,Business and Financial Operations
1152,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.5,3.142857142857143,Business and Financial Operations
21447,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",Compliance Officers,4.0,3.5,Business and Financial Operations
21449,"Prepare reports of activities, evaluations, recommendations, or decisions.",Compliance Officers,3.6666666666666665,3.5,Business and Financial Operations
21457,Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,Compliance Officers,4.5,4.25,Business and Financial Operations
80,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",Cost Estimators,3.5,2.2857142857142856,Business and Financial Operations
20846,Collect historical cost data to estimate costs for current or future products.,Cost Estimators,4.0,1.8571428571428568,Business and Financial Operations
84,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.",Cost Estimators,3.333333333333333,2.2857142857142856,Business and Financial Operations
87,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.,Cost Estimators,4.0,2.857142857142857,Business and Financial Operations
18859,Hire employees and process hiring-related paperwork.,Human Resources Specialists,2.75,2.9,Business and Financial Operations
18866,"Prepare or maintain employment records related to events, such as hiring, termination, leaves, transfers, or promotions, using human resources management system software.",Human Resources Specialists,4.0,2.8,Business and Financial Operations
18868,Review employment applications and job orders to match applicants with job requirements.,Human Resources Specialists,3.5,3.0,Business and Financial Operations
18860,"Inform job applicants of details such as duties and responsibilities, compensation, benefits, schedules, working conditions, or promotion opportunities.",Human Resources Specialists,3.0,2.0,Business and Financial Operations
18857,Contact job applicants to inform them of the status of their applications.,Human Resources Specialists,5.0,2.5,Business and Financial Operations
18865,"Perform searches for qualified job candidates, using sources such as computer databases, networking, Internet recruiting resources, media advertisements, job fairs, recruiting firms, or employee referrals.",Human Resources Specialists,3.0,2.9,Business and Financial Operations
18853,Analyze employment-related data and prepare required reports.,Human Resources Specialists,4.0,3.1,Business and Financial Operations
21097,Administer employee benefit plans.,Human Resources Specialists,2.0,2.142857142857143,Business and Financial Operations
18869,"Schedule or administer skill, intelligence, psychological, or drug tests for current or prospective employees.",Human Resources Specialists,2.0,2.4444444444444446,Business and Financial Operations
18855,Conduct reference or background checks on job applicants.,Human Resources Specialists,3.0,2.4,Business and Financial Operations
18876,"Review and evaluate applicant qualifications or eligibility for specified licensing, according to established guidelines and designated licensing codes.",Human Resources Specialists,4.0,3.0,Business and Financial Operations
15898,Maintain databases of logistics information.,Logistics Analysts,4.5,2.875,Business and Financial Operations
20009,"Remotely monitor the flow of vehicles or inventory, using Web-based logistics information systems to track vehicles or containers.",Logistics Analysts,3.0,3.0,Business and Financial Operations
15889,"Communicate with or monitor service providers, such as ocean carriers, air freight forwarders, global consolidators, customs brokers, or trucking companies.",Logistics Analysts,2.0,2.333333333333333,Business and Financial Operations
15890,Track product flow from origin to final delivery.,Logistics Analysts,2.0,3.0,Business and Financial Operations
15903,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",Logistics Analysts,2.6666666666666665,2.6,Business and Financial Operations
15893,Recommend improvements to existing or planned logistics processes.,Logistics Analysts,3.5,2.25,Business and Financial Operations
15904,"Apply analytic methods or tools to understand, predict, or control logistics operations or processes.",Logistics Analysts,3.0,4.333333333333333,Business and Financial Operations
15895,Prepare reports on logistics performance measures.,Logistics Analysts,3.6666666666666665,3.6666666666666665,Business and Financial Operations
15883,Enter logistics-related data into databases.,Logistics Analysts,4.5,2.8,Business and Financial Operations
15894,"Provide ongoing analyses in areas such as transportation costs, parts procurement, back orders, or delivery processes.",Logistics Analysts,3.5,2.4,Business and Financial Operations
15897,"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity.",Logistics Analysts,1.5,3.0,Business and Financial Operations
15899,Maintain logistics records in accordance with corporate policies.,Logistics Analysts,4.0,2.8,Business and Financial Operations
15902,"Compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns.",Logistics Analysts,4.0,2.25,Business and Financial Operations
15887,Contact potential vendors to determine material availability.,Logistics Analysts,4.0,1.5,Business and Financial Operations
15884,Develop or maintain payment systems to ensure accuracy of vendor payments.,Logistics Analysts,4.0,2.4,Business and Financial Operations
15885,Determine packaging requirements.,Logistics Analysts,4.0,2.333333333333333,Business and Financial Operations
7276,Gather and organize information on problems or procedures.,Management Analysts,4.333333333333333,3.25,Business and Financial Operations
7277,Analyze data gathered and develop solutions or alternative methods of proceeding.,Management Analysts,4.0,2.833333333333333,Business and Financial Operations
7282,"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",Management Analysts,4.0,2.8,Business and Financial Operations
7285,"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.",Management Analysts,3.333333333333333,2.2,Business and Financial Operations
18931,Write and send letters of thanks to donors.,Fundraisers,4.5,3.5,Business and Financial Operations
18907,Create or update donor databases.,Fundraisers,4.333333333333333,3.6666666666666665,Business and Financial Operations
18912,Develop strategies to encourage new or increased contributions.,Fundraisers,2.0,2.0,Business and Financial Operations
18911,"Develop or implement fundraising activities, such as annual giving campaigns or direct mail programs.",Fundraisers,2.333333333333333,3.1666666666666665,Business and Financial Operations
18926,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",Fundraisers,3.0,3.2,Business and Financial Operations
18919,Monitor progress of fundraising drives.,Fundraisers,4.0,4.0,Business and Financial Operations
18932,Write reports or prepare presentations to communicate fundraising program data.,Fundraisers,3.0,3.5,Business and Financial Operations
18908,"Design or produce materials such as posters, Web sites, or newsletters to promote, market, or advertise fundraising events.",Fundraisers,4.0,3.2857142857142856,Business and Financial Operations
18924,"Write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds.",Fundraisers,3.333333333333333,2.7142857142857144,Business and Financial Operations
18918,"Monitor budgets, expense reports, or other financial data for fundraising organizations.",Fundraisers,4.0,3.571428571428572,Business and Financial Operations
20475,"Obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials.",Training and Development Specialists,3.6666666666666665,3.5,Business and Financial Operations
19559,"Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts.",Training and Development Specialists,3.0,2.6666666666666665,Business and Financial Operations
98,"Monitor, evaluate, or record training activities or program effectiveness.",Training and Development Specialists,2.6666666666666665,3.6,Business and Financial Operations
20474,"Design, plan, organize, or direct orientation and training programs for employees or customers.",Training and Development Specialists,3.0,3.375,Business and Financial Operations
102,Develop alternative training methods if expected improvements are not seen.,Training and Development Specialists,3.0,2.6666666666666665,Business and Financial Operations
101,"Evaluate training materials prepared by instructors, such as outlines, text, or handouts.",Training and Development Specialists,3.5,3.8,Business and Financial Operations
20476,Monitor training costs and prepare budget reports to justify expenditures.,Training and Development Specialists,3.0,3.333333333333333,Business and Financial Operations
106,Devise programs to develop executive potential among employees in lower-level positions.,Training and Development Specialists,2.0,2.8,Business and Financial Operations
93,"Keep up with developments in area of expertise by reading current journals, books, or magazine articles.",Training and Development Specialists,4.0,3.6,Business and Financial Operations
95,"Schedule classes based on availability of classrooms, equipment, or instructors.",Training and Development Specialists,4.0,4.0,Business and Financial Operations
20328,Manage tracking and reporting of search-related activities and provide analyses to marketing executives.,Search Marketing Strategists,3.6666666666666665,3.1,Business and Financial Operations
20329,"Optimize digital assets, such as text, graphics, or multimedia assets, for search engine optimization (SEO) or for display and usability on internet-connected devices.",Search Marketing Strategists,4.0,3.5,Business and Financial Operations
16192,"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",Search Marketing Strategists,5.0,3.6666666666666665,Business and Financial Operations
16182,Participate in the development or implementation of online marketing strategy.,Search Marketing Strategists,4.0,3.0,Business and Financial Operations
16190,Optimize Web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,Search Marketing Strategists,4.333333333333333,3.4285714285714284,Business and Financial Operations
20318,Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,Search Marketing Strategists,4.5,3.5,Business and Financial Operations
20326,Identify appropriate Key Performance Indicators (KPIs) and report key metrics from digital campaigns.,Search Marketing Strategists,4.333333333333333,3.2,Business and Financial Operations
20321,Create content strategies for digital media.,Search Marketing Strategists,4.0,3.2,Business and Financial Operations
20319,Combine secondary data sources with keyword research to more accurately profile and satisfy user intent.,Search Marketing Strategists,4.333333333333333,3.2857142857142856,Business and Financial Operations
20330,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,Search Marketing Strategists,4.0,4.0,Business and Financial Operations
20327,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",Search Marketing Strategists,4.333333333333333,4.142857142857143,Business and Financial Operations
16191,"Conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media Web sites.",Search Marketing Strategists,2.6666666666666665,3.2,Business and Financial Operations
16186,"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.",Search Marketing Strategists,4.333333333333333,3.6,Business and Financial Operations
16179,Propose online or multiple-sales-channel campaigns to marketing executives.,Search Marketing Strategists,3.0,3.2,Business and Financial Operations
15980,"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.",Sustainability Specialists,4.333333333333333,3.0,Business and Financial Operations
15979,"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",Sustainability Specialists,3.5,2.75,Business and Financial Operations
15973,Provide technical or administrative support for sustainability programs or issues.,Sustainability Specialists,3.0,3.0,Business and Financial Operations
15968,Review and revise sustainability proposals or policies.,Sustainability Specialists,3.0,3.1666666666666665,Business and Financial Operations
15976,Develop reports or presentations to communicate the effectiveness of sustainability initiatives.,Sustainability Specialists,3.5,2.4,Business and Financial Operations
15975,Create or maintain plans or other documents related to sustainability projects.,Sustainability Specialists,4.5,3.1666666666666665,Business and Financial Operations
15978,Collect information about waste stream management or green building practices to inform decision makers.,Sustainability Specialists,2.5,2.6,Business and Financial Operations
15969,"Research or review regulatory, technical, or market issues related to sustainability.",Sustainability Specialists,4.0,2.833333333333333,Business and Financial Operations
15731,"Receive and process payments from customers, using electronic transaction services.",Online Merchants,5.0,2.4,Business and Financial Operations
15710,"Create, manage, or automate orders or invoices, using order management or invoicing software.",Online Merchants,5.0,3.1,Business and Financial Operations
15709,Deliver e-mail confirmation of completed transactions and shipment.,Online Merchants,5.0,4.1,Business and Financial Operations
15728,"Correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods.",Online Merchants,3.6666666666666665,3.2,Business and Financial Operations
15707,Determine and set product prices.,Online Merchants,4.0,2.3,Business and Financial Operations
15730,"Calculate purchase subtotals, taxes, and shipping costs for submission to customers.",Online Merchants,5.0,2.7,Business and Financial Operations
15734,"Compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping Web sites.",Online Merchants,4.666666666666667,3.6,Business and Financial Operations
15703,"Upload digital media, such as photos, video, or scanned images to online storefront, auction sites, or other shopping Web sites.",Online Merchants,4.0,2.6,Business and Financial Operations
15735,"Calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",Online Merchants,5.0,4.4,Business and Financial Operations
15714,Cancel orders based on customer requests or inventory or delivery problems.,Online Merchants,5.0,3.5,Business and Financial Operations
15732,"Prepare or organize online storefront marketing material, including product descriptions or subject lines, optimizing content to search engine criteria.",Online Merchants,3.0,3.142857142857143,Business and Financial Operations
15704,Order or purchase merchandise to maintain optimal inventory levels.,Online Merchants,3.0,2.2,Business and Financial Operations
15711,Create or maintain database of customer accounts.,Online Merchants,4.333333333333333,4.5,Business and Financial Operations
15717,"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",Online Merchants,4.5,3.0,Business and Financial Operations
15721,"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",Online Merchants,2.333333333333333,4.0,Business and Financial Operations
21511,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",Accountants and Auditors,3.5,3.3,Business and Financial Operations
21514,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",Accountants and Auditors,3.6666666666666665,1.75,Business and Financial Operations
21515,Prepare adjusting journal entries.,Accountants and Auditors,4.0,2.7,Business and Financial Operations
21516,Review accounts for discrepancies and reconcile differences.,Accountants and Auditors,4.5,2.125,Business and Financial Operations
21519,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",Accountants and Auditors,4.333333333333333,2.0,Business and Financial Operations
21520,Report to management regarding the finances of establishment.,Accountants and Auditors,3.333333333333333,2.2,Business and Financial Operations
21522,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.",Accountants and Auditors,3.5,3.111111111111111,Business and Financial Operations
21549,"Compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential.",Appraisers and Assessors of Real Estate,2.75,2.75,Business and Financial Operations
21550,"Prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.",Appraisers and Assessors of Real Estate,2.6666666666666665,3.625,Business and Financial Operations
21552,Collect and analyze relevant data to identify real estate market trends.,Appraisers and Assessors of Real Estate,4.0,2.9,Business and Financial Operations
21553,"Prepare and maintain current data on each parcel assessed, including maps of boundaries, inventories of land and structures, property characteristics, and any applicable exemptions.",Appraisers and Assessors of Real Estate,3.5,3.1666666666666665,Business and Financial Operations
21555,Identify the ownership of each piece of taxable property.,Appraisers and Assessors of Real Estate,3.0,3.0,Business and Financial Operations
21557,Complete and maintain assessment rolls that show the assessed values and status of all property in a municipality.,Appraisers and Assessors of Real Estate,3.333333333333333,3.8,Business and Financial Operations
21558,"Review information about transfers of property to ensure its accuracy, checking basic information on buyers, sellers, and sales prices and making corrections as necessary.",Appraisers and Assessors of Real Estate,3.0,3.4285714285714284,Business and Financial Operations
21562,Examine income records and operating costs of income properties.,Appraisers and Assessors of Real Estate,2.6666666666666665,2.5,Business and Financial Operations
21565,"Search public records for transactions such as sales, leases, and assessments.",Appraisers and Assessors of Real Estate,2.0,3.375,Business and Financial Operations
21566,Check building codes and zoning bylaws to determine any effects on the properties being appraised.,Appraisers and Assessors of Real Estate,3.0,3.5,Business and Financial Operations
21567,Verify legal descriptions of properties by comparing them to county records.,Appraisers and Assessors of Real Estate,4.0,3.571428571428572,Business and Financial Operations
21570,Obtain county land values and sales information about nearby properties to aid in establishment of property values.,Appraisers and Assessors of Real Estate,2.6666666666666665,3.75,Business and Financial Operations
3394,Analyze monthly department budgeting and accounting reports to maintain expenditure controls.,Budget Analysts,4.0,3.375,Business and Financial Operations
3401,Review operating budgets to analyze trends affecting budget needs.,Budget Analysts,3.333333333333333,3.2857142857142856,Business and Financial Operations
3405,Compile and analyze accounting records and other data to determine the financial resources required to implement a program.,Budget Analysts,2.5,2.833333333333333,Business and Financial Operations
3395,Direct the preparation of regular and special budget reports.,Budget Analysts,3.333333333333333,3.4285714285714284,Business and Financial Operations
1250,Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,Credit Analysts,3.5,2.555555555555556,Business and Financial Operations
1254,"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",Credit Analysts,4.5,3.0,Business and Financial Operations
1255,"Generate financial ratios, using computer programs, to evaluate customers' financial status.",Credit Analysts,4.5,3.4,Business and Financial Operations
